ID,ยาสีฟันกลิสเทอร์,ลูกกลิ้งระงับกลิ่นเหงื,ออลแพลนท์โปรตีน450กรัม,ยาสีฟันกลิสเทอร์ขนาดพก,นิวทริไลท์น้ำมันปลา,ยาสีฟันกลิสเทอร์ไวท์,นิวทริไลท์การ์ลิค(กระ,นิวทริไลท์กรีนทีโปรตีน,นิวทริไลท์พริมโรสพลั,ไฟโตพาวเดอร์อะเซโรล่า,แก้วเชคนิวทริไลท์,นิวทริไลท์โปรตีนเบอร์ร,น้ำยาล้างจานดิชดรอปส,โลชั่นถนอมผิวอัลลาโน,นิวทริไลท์ไฟโตเบลนด์
M2242581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2242595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2247450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2248017,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
M2249279,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
M2250734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
M2250750,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0
M2253662,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2255629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2255633,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
M2256729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2259639,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
M2260693,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
M2261622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2261640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2262793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2262835,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2262867,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
M2263430,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2264165,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
M2266927,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
M2268316,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
M2271399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2271409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2271423,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2272164,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
M2272326,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0
M2272476,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
M2273183,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2273825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2275011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2276823,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
M2276839,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
M2276898,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
M2277541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2278141,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
M2278667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2278741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2279237,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
M2279569,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2280792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2280915,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
M2285366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2285973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2287382,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
M2288142,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
M2288723,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
M2288724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2293024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2293030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2293058,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
M2293086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2295104,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
M2295408,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
M2296864,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0
M2300847,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
M2302129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2302212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2302801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2303289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2303778,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
M2309130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2309130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
M2309338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2313229,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
M2315391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2318469,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
M2319224,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
M2321906,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
M2322348,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
M2325887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2325895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2329295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2329630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2330173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2332118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2333880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2335068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2335328,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
M2336086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2336926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2337295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2338479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2338882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2340220,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
M2340412,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2343135,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
M2345567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2346477,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
M2347454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2347480,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
M2349521,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
M2350640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2350766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2352229,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
M2352267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2352291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2353762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2354851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2354872,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0
M2355187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2357130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2357194,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
M2358712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2359718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2359728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2362702,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2363279,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
M2363667,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
M2367601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2369776,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2370161,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
M2373237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2374955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2375339,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
M2375667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2376188,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
M2377262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2378315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2382779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2384904,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2384909,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
M2388984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2389097,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2389402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2390009,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
M2390610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2391153,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
M2391551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2391557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2394581,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
M2395853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2397799,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0
M2398029,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0
M2398232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2398246,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2400038,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
M2401602,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
M2404297,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
M2408120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2409164,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
M2409718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2411984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2417151,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
M2417360,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
M2423261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2428821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2437756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2437768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2437779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2439099,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
M2439689,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
M2443397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2443417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2443433,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
M2444303,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
M2447399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2447413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2447415,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
M2449477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2450656,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2450806,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1
M2450820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2451424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2454216,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
M2455314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2455317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2456452,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
M2458066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2462187,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
M2464520,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
M2465893,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
M2467925,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
M2468160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2468173,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
M2468563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2468563,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
M2470563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2472134,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
M2474377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2478472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2478925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2478939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2478949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2479157,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
