ID,ยาสีฟันกลิสเทอร์,ลูกกลิ้งระงับกลิ่นเหงื,ออลแพลนท์โปรตีน450กรัม,นิวทริไลท์น้ำมันปลา,ผลิตภัณฑ์ทําความสะอาดLO,นิวทริไลท์การ์ลิค(กระ,น้ำยาล้างจานดิชดรอปส,ยาสีฟันกลิสเทอร์ขนาดพก,ยาสีฟันกลิสเทอร์ไวท์,นิวทริไลท์ออลแพลนท์,นิวทริไลท์กรีนทีโปรตีน,เครื่องดื่มXS:แครนเบอร,เครื่องดื่มXS:ทรอปิคอล,ไฟโตพาวเดอร์อะเซโรล่า,นิวทริไลท์ไฟโตเบลนด์
A2569891,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0
A2605795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2610977,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
A2611946,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A2626466,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
A2643372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2644551,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
A2693904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2720407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2737095,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
A2791761,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A2792560,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
A2807362,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
A2819848,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1
A2819848,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
A2825823,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
A2857313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2884157,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
A2900300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2933834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2939515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2962047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2995758,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A2997922,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0
A3013349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A3018716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A3036526,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
A3036526,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A3036526,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
A3120454,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
A3211929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A3292909,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
A3311409,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A333912,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
A3347359,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0
A3365242,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1
A3380133,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A3380134,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
A3464217,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
A3464387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A3475383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A3552198,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
A3582899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A3584394,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
A3643452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A3647248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A3659833,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A3753428,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
A3801224,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
A3820898,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A3894546,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
A4000222,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
A4012759,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
A4021450,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A4033286,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
A403798,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
A4052480,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A4069279,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
A4072436,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
A4091888,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
A4091888,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
A4306157,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
A4313586,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A4363384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A4363384,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
A4397942,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A4482100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A453972,1,0,1,1,0,1,0,0,0,1,0,1,1,1,1
A453972,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1
A4631821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A4640095,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0
A4640095,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
A4640095,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0
A478831,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
A478831,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0
A5063821,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
A5185289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A5189674,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A5230847,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
A5262471,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A5484019,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
A5693287,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A5759284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A5759285,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
A5889462,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
A6021405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A6047803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A6053175,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A6061261,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
A6081237,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0
